Loan_ID,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Credit_History,Loan_Status
LP002948,2,Graduate,0,5780,192,1,1
LP002949,3+,Graduate,,416,350,,0
LP002950,0,0t Graduate,,2894,155,1,1
LP002953,3+,Graduate,0,5703,128,1,1
LP002958,0,Graduate,0,3676,172,1,1
LP002959,1,Graduate,0,12000,496,1,1
LP002960,0,0t Graduate,0,2400,,1,0
LP002961,1,Graduate,0,3400,173,1,1
LP002964,2,0t Graduate,0,3987,157,1,1
LP002974,0,Graduate,0,3232,108,1,1
LP002978,0,Graduate,0,2900,71,1,1
LP002979,3+,Graduate,0,4106,40,1,1
LP002983,1,Graduate,0,8072,253,1,1
LP002984,2,Graduate,0,7583,187,1,1
LP002990,0,Graduate,,4583,133,0,0
